외국인투자기업정보,,,,,,,,,,,
,,,,,,,,,,,
회사명(한글),회사명(영문),전화번호,우편번호,주소,표준산업중분류명,표준산업분류명,표준산업분류코드,외투기업최초등록일자,대표업종,대표투자국가,업체유형
(주)거창산업,,055-338-2055,621843,경남 김해시 주촌면 원지리 1148-1번지,부동산?임대,건설 및 토목공사용 기계장비 임대업,69310,20130823,"거푸집, 유로폼 임대업",네팔,법인기업
(주)거캐피탈어드바이저스코리아,"GAW CAPITAL ADVISORS KOREA CO., LTD.",02-2112-5158,135981,"서울특별시 강남구 테헤란로 152, 16층 (역삼동)",금융?보험,투자 자문업,66192,20120913,투자자문업,홍콩,법인기업
(주)건경,QIAN JING,010-5263-6188,400037,인천 중구 항동7가 27-35 피렌체오피스텔 202호,도?소매(유통),상품 종합 도매업,46800,20111110,"수출입, 무역",중국,법인기업
(주)건국무역,,,400060,인천광역시 중구 인중로 (사동 ) 146번길 18,도?소매(유통),상품 종합 도매업,46800,20160428,화장품 도소매,중국,법인기업
(주)건농코리아,"GEONNONG KOREA CO.,LTD.",02-511-1533,140210,서울 용산구 한남동 686-21 몬드리안빌딩 101호,의약,생물학적 제제 제조업,21102,20090902,생물학적 제재 제조업,일본,법인기업
(주)게이밍,GAMENG,02.526.0730,137130,서울 서초구 양재동 24 스포타임빌딩 1층,비즈니스서비스업,컴퓨터 프로그래밍 서비스업,62010,20120322,(주)게이밍,미국,법인기업
(주)게임앤사운드,GAME N SOUND,,140011,"서울특별시 용산구 한강대로62다길 3층(한강로1가, 에이앤에이치빌딩 )",기타제조,음악 및 기타 오디오물 출판업,59201,20150416,게임음악 사운드 제작,홍콩,법인기업
(주)게임온스튜디오,GAMEON STUDIO CORPORATION,031-697-2707,463500,경기 성남시 분당구 구미동 188 엠타워 4층,비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20100729,소프트웨어 개발및 운영업,일본,법인기업
(주)게임즈디스플레이,"GAMES DISPLAY CO., LTD.",031-950-3028,420806,"경기 부천시 원미구 도당동 187-7, B동 1208호",전기?전자,컴퓨터 모니터 제조업,26322,20090224,산업용모니터 제조업,미국,법인기업
(주)게임프릭,GAMEPRIX,070-7017-1100,135280,서울 강남구 대치동 891-48 돌채빌딩 9층,비즈니스서비스업,기타 게임 소프트웨어 개발 및 공급업,58219,20090507,"소프트웨어 자문, 개발, 유통 등",버진아일랜드,법인기업
(주)겐짱카레코리아,"KENCHAN CURRY KOREA CO., LTD.",051-461-0092,600815,부산광역시 중구 대청로135번길,음식?숙박,일식 음식점업,56113,20131112,일본음식점,일본,법인기업
(주)경신,KYUNGSHIN CORP.,032-714-7177,406840,인천 연수구 송도동 7-1,운송용기계,그외 기타 자동차 부품 제조업,30399,20041227,기타자동차부품제조,일본,법인기업
(주)경은이엠티,"KYUNGEUN E.M.T. CO., LTD",,630812,경상남도 창원시 마산회원구 무역로 (양덕동 ) 57,전기?전자,전동기 및 발전기 제조업,28111,20160801,발전기 등 제조,홍콩,법인기업
(주)경진유,"KYOUNG JIN U CO.,LTD.",,369801,충청북도 음성군 음성읍 음성로367번길 24,도?소매(유통),산업용 농축산물 및 산동물 중개업,46101,20151001,축산물 도소매,중국,법인기업
(주)고고밴코리아,GOGOVAN KOREA,,413130,"경기도 파주시 산남로107번길 86-11 (산남동,에스비에스전원주택77호)",도?소매(유통),기타 상품 중개업,46109,20150305,"상품 중개업, 무역",홍콩,법인기업
(주)고고월드,GO GO WORLD,,135910,"서울특별시 강남구 테헤란로25길 (역삼동 역삼현대벤쳐텔) 20, 507호",비즈니스서비스업,번역 및 통역서비스업,73902,20160614,"통번역 서비스업, 각종 이벤트 대리업",일본,법인기업
(주)고려스틸트레이딩,"KOREA STEEL TRADING CO.,LTD.",02-824-8595,150913,"서울특별시 영등포구 여의동로 3길 10, 501동 2101호 (여의도동, 여의도자이아파트)",도?소매(유통),상품종합 중개업,46105,20130902,철강제품 유통업,아랍에미레이트,법인기업
(주)고려와이어,"KOREA WIRE CO.,LTD",055-286-7483,630803,경남 창원시 마산회원구 봉암동 658-8(자유무역5길 27),운송용기계,그외 기타 자동차 부품 제조업,30399,20130502,자동차부품(쉴드 우아타 케이블),일본,법인기업
(주)고려제네랄서비스,"KORYEO GENERAL SERVICE CO.,LTD.",,135825,"서울특별시 강남구 학동로20길 (논현동 ) 28, 507호",도?소매(유통),상품 종합 도매업,46800,20160608,"물류, 무역(전자제품, 산업재료, 차량 등)",우즈베키스탄,법인기업
(주)고세코리아,"KOSE KOREA CO.,LTD",02-3466-3613,135845,서울특별시 강남구 테헤란로88길 신도리코빌딩 3층,도?소매(유통),화장품 도매업,46443,20010801,화장품 도매업,일본,법인기업
(주)고스트코어,GHOST CORPS.,02-8548-9556,135080,서울 강남구 역삼동 828-5 청원빌딩 2층 211호,비즈니스서비스업,컴퓨터시스템 통합 자문 및 구축 서비스업,62021,20111202,"소프트웨어자문, 개발 및 공급업",미국,법인기업
(주)고시다코리아,KOSHIDA KOREA CORPORATION,02-551-6363,135958,"서울특별시 강남구 영동대로 511, 15층 (삼성동, 무역센터)",운송용기계,그외 기타 자동차 부품 제조업,30399,20120131,"자동차, 자동이륜차용 부품, 기기 및 관련상품의 제조업",일본,법인기업
(주)고오키코리아,"KOKI KOREA CO., LTD.",031-656-0221,450100,경기 평택시 세교동 539-2,문화?오락,종합 스포츠시설 운영업,91131,19861213,용접용용제 및 기타보조제 제조,일본,법인기업
(주)고요코리아,"GOYO KOREA CO.,LTD",053-577-0336,630851,경남 마산시 내서읍 광려로 481,기계?장비,주형 및 금형 제조업,29294,20120829,"자동차 금형부품 제조, 판매",일본,법인기업
(주)고이즈미코리아,"KOIZUMI KOREA CO.,LTD.",010-3388-8187,137070,"서울특별시 서초구 논현로 (양재동 삼호물산빌딩) 87, 비동 1308호",도?소매(유통),상품 종합 도매업,46800,20110905,"철강재 수입, 판매등",일본,법인기업
(주)고향무역,,010-2399-3866,150825,"서울특별시 영등포구 디지털로53길 14-1, 지층 (대림동)",식품,두부 및 유사식품 제조업,10794,20130520,도소매(콩 소매),중국,법인기업
(주)곤달무역,"GONDAL TRADING CO., LTD.",010-5630-0786,459080,"경기 평택시 칠원동 87, 87-2, 87-5, 87-6",도?소매(유통),상품 종합 도매업,46800,20090730,상품종합도매업,파키스탄,법인기업
(주)골드버터플라이,GOLD BUTTERFLY,,110862,"서울특별시 종로구 낙산길 14, 1층(동숭동)",운수?창고(물류),일반 및 국외 여행사업,75211,20150924,여행업,중국,법인기업
(주)골드시코리아인베스트먼트,"GOLDSEA KOREA INVESTMENT CO.,LTD",018-670-4004,612889,경상남도 거제시 일운면 지세포해안로 15,문화?오락,식물원 및 동물원 운영업,90231,20130716,아쿠아리움 및 여행시설업,싱가포르,법인기업
(주)골드오션,GOLD OCEAN,031-227-0139,445926,"경기도 화성시 향남읍 토성로 252 (,237-3)",도?소매(유통),사료 도매업,46203,20130628,사료도매업,중국,법인기업
(주)골드트러스트오토,GOLD TRUST AUTO,010-5101-5152,406820,"인천광역시 연수구 함박안로 102,201호(연수동)",도?소매(유통),중고 자동차 판매업,45120,20131105,중고자동차 수출,카자흐스탄,법인기업
(주)골든룰,"GOLDEN RULE CO.,LTD.",010-2892-3257,626310,"경상남도 양산시 주진1길 43, 106-1706 (주진동, 로즈힐)",도?소매(유통),상품 종합 도매업,46800,20120709,무역도소매업,러시아,법인기업
(주)골든브리지,"GOLDEN BRIDGE CO.,LTD.",010-5817-0807,140858,"서울특별시 용산구 우사단로10길 24, 1층 (이태원동)",도?소매(유통),상품 종합 도매업,46800,20131230,"수출입업,여행업,음식점 경영업",인도네시아,법인기업
(주)골든비치,"DEVELOPMENT GOLDEN BEACH CO.,LTD",,690828,제주특별자치도 제주시 중앙로 (이도일동 ) 151,문화?오락,기타 갬블링 및 베팅업,91249,20160215,카지노,버뮤다,법인기업
(주)골든샤인무역,"GOLDEN SHINE TRADING CO., LTD.",010-6493-5169,621847,경상남도 김해시 주촌면 서부로1701번안길 58-52,도?소매(유통),상품 종합 도매업,46800,20140228,상품종합도매업,아프가니스탄,법인기업
(주)골든이글,"GOLDEN EAGLE CO., LTD.",,614848,"부산광역시 중구 중앙대로 80, 1204호(중앙동4가, 노블리안2)",도?소매(유통),과실 및 채소 도매업,46311,20141120,"농수산물무역업, 농수산물유통업, 농수산물도소매업",중국,법인기업
(주)골든코리아생활건강,"GOLDEN KOREA LIFE AND HEALTH CARE CO.,LTD",,157010,"서울특별시 강서구 국회대로7길 (화곡동 ) 101, 2층 202-1호",도?소매(유통),상품 종합 도매업,46800,20150818,무역업,중국,법인기업
(주)공부가,,,626815,경상남도 양산시 물금읍 화합길 31,음식?숙박,중식 음식점업,56112,20151203,레스토랑,중국,법인기업
(주)공차코리아,"GONG CHA KOREA CO.,LTD.",02-779-7758,137908,"서울특별시 서초구 잠원로 46-6, 2층, 3층(잠원동)",도?소매(유통),기타 음?식료품 위주 종합 소매업,47129,20111005,식료품판매,영국,법인기업
(주)공항국제여행사,"KONG GANG INTERNATIONAL TRAVEL CO.,LTD.",02-3141-9561,121841,"서울특별시 마포구 월드컵북로5가길 8-7 (서교동, 2층)",운수?창고(물류),일반 및 국외 여행사업,75211,20130128,일반여행업,중국,법인기업
(주)광림,"KANGLIM CO., LTD",051-740-5799,612020,"부산광역시 해운대구 센텀중앙로 48 (우동, 에이스하이테크21 제1510호)",도?소매(유통),상품 종합 도매업,46800,20100222,무역도소매업,러시아,법인기업
(주)광메탈,"GWANGMETAL CO.,LTD",,369842,충청북도 음성군 생극면 일생로 435-33,기타제조,금속원료 재생업,38301,20141222,금속원료 재생업,중국,법인기업
(주)광양국제물류,"Gwangyang International Logistic co., Ltd.",010-9303-2635,680060,울산 남구 장생포동 87-11,운수?창고(물류),일반 창고업,52101,20090203,일반창고업,홍콩,법인기업
(주)광양인터내셔널물류센터,"GWANGYANG INTERNATIONAL DISTRIBUTION CENTER CO.,LTD.",,545030,전남 광양시 (황길동 ) 1414,운수?창고(물류),일반 창고업,52101,20150608,일반창고업,미국,법인기업
(주)광양훼더,"GWANGYANG FEATHER CO., LTD",1094970885,540856,전라남도 순천시 해룡면 율촌산단4로 ( (주)광양훼더) 26-133,섬유?직물?의류,원모피 가공업,14201,20111212,우모 제조 및 도소매,중국,법인기업
(주)광태무역,"KWANGTAE TRADING CO.,LTD.",,100880,"서울특별시 중구 퇴계로 395, 502호 (흥인동, 일신빌딩)",도?소매(유통),상품 종합 도매업,46800,20141204,무역업,중국,법인기업
(주)광화국제여행사,"GWANG HWA INT'L TRAVEL CO., LTD",02-2631-0222,150862,서울 영등포구 양평동1가 9-17 금산플레이버 601,도?소매(유통),상품 종합 도매업,46800,20001114,"무역업, 여행사업",일본,법인기업
(주)광흥,"KWNG HEUNG CO.,LTD",055-343-8836,621882,경상남도 김해시 진례면 고모로180번길 96,도?소매(유통),상품 종합 도매업,46800,20130121,"무역(폐고철,금속)",중국,법인기업
(주)구로향원두부공장,,010-6498-8348,152873,"서울특별시 구로구 구로동로26길 11, 1층(구로동)",식품,두부 및 유사식품 제조업,10794,20140729,식품 제조업,중국,법인기업
(주)구루만디즈코리아,,02-557-2488,463808,"경기도 성남시 분당구 돌마로 80 3층 352(구미동, 현대벤처빌)",도?소매(유통),상품 종합 도매업,46800,20110131,"통신기기 및 주변기기, 완구류 및 잡화의 도소매업",일본,법인기업
(주)구월송글로벌,"NINE PINE GLOBAL CO., LTD.",,130881,"서울특별시 동대문구 이문로 22, 1210호(휘경동, 유니스타워)",운수?창고(물류),일반 및 국외 여행사업,75211,20150807,국내외 여행업,중국,법인기업
(주)구을프라스틱,"GUER PLASTIC CO.,LTD",3180592520,445958,경기 화성시 팔탄면 하저리 933-4,화공,가공 및 재생 플라스틱원료 생산업,20303,20111206,프라스틱 재활용품 제조 및 도매,중국,법인기업
(주)국제할랄인증센터,"INTERNATIONAL HALAL CERTIFICATION CENTER CO., LTD.",,135957,"서울특별시 강남구 도산대로 435 6층(청담동, 삼이빌딩)",비즈니스서비스업,기타 사무지원 서비스업,75919,20160119,국제할랄인증,아랍에미레이트,법인기업
(주)굳뉴스,GOODNEWS CORPORATION,010.3705.0208,425828,"경기도 안산시 단원구 북촌1길 1(선부동,B102호)",도?소매(유통),상품 종합 도매업,46800,20121212,상품종합도매업,나이지리아,법인기업
(주)굿몰,GOOD MALL,,405864,"인천광역시 남동구 구월남로 148 (구월동, 타워플러스 11층 1103호)",종합건설,사무 및 상업용 건물 건설업,41121,20141203,건설업,중국,법인기업
(주)굿타이,"GOOD THAI CO.,LTD.",02-517-1135,100721,"서울 중구 소공동 1, 12층 타이오키드",도?소매(유통),상품 종합 도매업,46800,20050202,"상품종합도매업, 식당체인업",태국,법인기업
(주)굿타이밍대부,"GOOD TIMING CO., LTD",02-3477-7030,135080,서울 강남구 역삼동 736-17 동궁빌딩 13층,금융?보험,그외 기타 여신금융업,64919,20071116,대부업,일본,법인기업
(주)그래비티코리아,GRAVITY KOREA,,110521,"서울 종로구 성균관로 17길 45 (명륜동1가, 연화빌딩 ) 203호",도?소매(유통),화장품 도매업,46443,20150924,"여행사, 무역도소매, 요식업",중국,법인기업
(주)그래핀코리아,"GRAPHENE KOREA CO.,LTD.",25292906,461200,"경기 성남시 수정구 복정로 125, 201호(복정동, 태영빌딩)",광업,그외 기타 비금속광물 광업,7290,20130304,채광,일본,법인기업
(주)그랜드웨이,"GRAND WAY CO., LTD.",070-4785-9655,100400,"서울특별시 중구 퇴계로 282,6층 601호(쌍림동)",도?소매(유통),상품 종합 도매업,46800,20111220,무역도소매업,러시아,법인기업
(주)그랜드크리에이션그룹,"GRAND CREATION GROUP CO.,LTD.",,405806,"인천광역시 남동구 예술로370번길 59, 403호(간석동, 엘리시아)",부동산?임대,비주거용 건물 개발 및 공급업,68122,20151214,부동산 개발,세이셸,법인기업
(주)그랜드피크인터내셔날코리아,GRAND PEAK INTERNATIONAL KOREA LTD.,,135984,"서울특별시 강남구 테헤란로 (역삼동 강남파이낸스센터) 152, 41층",부동산?임대,기타 부동산 개발 및 공급업,68129,20160419,부동산 개발 및 임대업,싱가포르,법인기업
(주)그랜일드니터스코리아,GRANDYIELD KNITTERS KOREA LTD,02-882-4046,151835,"서울특별시 관악구 남부순환로228길 85. 503호(봉천동, 뉴파크플러스)",도?소매(유통),상품 종합 도매업,46800,20050310,무역업,홍콩,법인기업
(주)그레이트박트레이딩컴퍼니,"GREAT PAK TRADING COMPAY CO., LTD.",031-494-4024,425850,"경기도 안산시 단원구 풍전로 7 (원곡동,팬익빌딩비-151호)",도?소매(유통),상품 종합 도매업,46800,20130708,상품종합도매업,파키스탄,법인기업
(주)그로웰코리아,,02)2017-0414,135010,서울 강남구 논현동 203-1 거평타운 201호,금융?보험,투자 자문업,66192,20100601,투자 및 투자자문,홍콩,법인기업
(주)그루포오스테리아,"Gruppo Osteria Co., Ltd",,601829,부산광역시 동구 중앙대로195번가길 (초량동 ) 50(초량동),도?소매(유통),음?식료품 및 담배 중개업,46102,20160503,식품 도소매,일본,법인기업
(주)그리드잇,"GreedEat Co.,Ltd.",,140846,"서울특별시 용산구 백범로 329, 102호 에이구역 (원효로1가)",비즈니스서비스업,응용소프트웨어 개발 및 공급업,58222,20151228,"소프트웨어개발및공급업, 전자상거래업, 데이터베이스마케팅, 외식컨설팅",케이만군도,법인기업
(주)그린데이타베이스,"GREEN DATA BASE CO.,LTD",02-785-2515,135280,서울 강남구 대치동 983-1 해암빌딩 6층,부동산?임대,기타 부동산 임대업,68119,20070504,"부동산,임대,경영관리,재무,용역,유가증권투자등",네덜란드,법인기업
(주)그린솔루션,GREEN SOLUTION,031-500-4779,426170,경기 안산시 상록구 사동 경기테크노파크 고도화동 408호,전기?전자,전시 및 광고용 조명장치 제조업,28423,20100820,LED 조명기기,일본,법인기업
(주)그린지오텍,ASIA GEO-CONSULTANTS CO. LTD.,031-776-3232-031-776-3233,462120,경기 성남시 중원구 상대원동 190-1 에스케이앤테크노파크 메가센타 1105호,비즈니스서비스업,지질조사 및 탐사업,72923,19990115,환경측정평가업.지질조사및탐사업,일본,법인기업
(주)그린테크놀로지,"GREEN TECHNOLOGY CO.,LTD.",031-495-6502,425110,경기 안산시 단원구 성곡동 611-8. 18블럭 51롯트,전기?전자,인쇄회로기판 제조업,26221,20130703,인쇄회로기판제조업,일본,법인기업
(주)극동티엘에스,"KUKDONG TLS CO.,LTD.",23164114,437030,"경기도 의왕시 오봉로 175(이동,의왕ICD2터미날)",운수?창고(물류),일반 화물자동차 운송업,49311,20130708,일반화물자동차운송업,홍콩,법인기업
(주)글라막스코리아,"GLAMOX KOREA CO., LTD.",2,618230,"부산광역시 해운대구 센텀서로 30, 2708호(우동, 케이엔엔타워)",도?소매(유통),전구?램프 및 조명장치 도매업,46432,20090218,"전구,램르 도매, 전기용장비 도소매,보관 및 창고업",노르웨이,법인기업
(주)글래드앤조이와이스,"GLAD AND JOY WISE CO., LTD.",010-3825-8720,140866,서울특별시 용산구 녹사평대로40다길 16(이태원동),도?소매(유통),상품 종합 도매업,46800,20130805,상품종합 중개업,나이지리아,법인기업
(주)글랜에어코리아,"GLENAIR KOREA CO.,LTD.",,435833,"경기도 군포시 고산로148번길 17, 비동 1304호(당정동, 군포아이티밸리)",전기?전자,기타 무선 통신장비 제조업,26429,20141113,전기전자제품 제조업,미국,법인기업
(주)글로메드코리아,"GLO MED KOREA CO., LTD.",010-8910-2954,100814,"서울특별시 중구 서소문로11길 50, 602호 (서소문동, 신아빌딩)",비즈니스서비스업,시장조사 및 여론조사업,71400,20131220,"의료장비, 의료기기 판매 및 수출입, 의료관련 출판업 및 인터넷 정보사업 등",홍콩,법인기업
(주)글로발크로싱코리아,GLOBAL CROSSING KOREA INC,542785189,791210,경북 포항시 북구 새천년대로 541,금속,"알루미늄 제련, 정련 및 합금 제조업",24212,20120302,알루미늄재생및생산,미국,법인기업
(주)글로벌가보농산,GLOBAL GABONONGSAN,1024168686,138889,"서울특별시 송파구 백제고분로 113,201(잠실동)",도?소매(유통),과실 및 채소 도매업,46311,20131001,무역업(농수산물),중국,법인기업
(주)글로벌로지텍,"GLOBAL LOGITECH CO.,LTD",054-280-2567,645370,경남 창원시 진해구 (남문동 ) 신항10로 19,운수?창고(물류),일반 창고업,52101,20130425,창고보관업,일본,법인기업
(주)글로벌루시파이,,010-3926-2204,100070,"서울특별시 중구 충무로 13,14층 1411호 (충무로3가, 엘크로메트로시티)",도?소매(유통),상품 종합 도매업,46800,20120802,무역업,중국,법인기업
(주)글로벌브레인즈,"GLOBAL BRAINS CO.,LTD",02-2676-7450,100861,"서울특별시 중구 삼일대로 4길 9(충무로2가, 라이온스빌딩 3층 204호)",도?소매(유통),기타 비전기식 가정용 기기 및 기구 도매업,46439,20111115,"서비스업, 식품가공 등",일본,법인기업
(주)글로벌비전무역,"GLOBAL VISION TRADE CO.,LTD.",010-8738-8204,704931,대구광역시 달서구 와룡로56길 30 (죽전동),도?소매(유통),상품 종합 도매업,46800,20151102,무역,파키스탄,법인기업
(주)글로벌세틀러스코리아,"GLOBAL SETTLERS KOREA CO.,LTD.",1075660905,140866,"서울특별시 용산구 이태원로 153(이태원동,1층)",도?소매(유통),그외 기타 상품전문 도매업,46799,20140115,그외 기타 상품전문 도매업,말레이시아,법인기업
(주)글로벌아이엔지,"GLOBAL ING CO., LTD.",02-2051-7555,121040,서울 마포구 도화동 250-4 근신빌딩2시관2층 205,도?소매(유통),상품 종합 도매업,46800,20091001,야외용 제품 및 부품 등의 도소매 및 수출입업,미국,법인기업
(주)글로벌어쎄스코리아,"GLOBAL ACCESS KOREA CO.,LTD",02-3141-1245,121904,"서울특별시 마포구 월드컵로 37, 501호 (합정동, 웰빙센터)",운수?창고(물류),"화물운송 중개, 대리 및 관련서비스업",52991,20130627,복합운송주선업,싱가포르,법인기업
(주)글로벌엔지니어링테크놀로지,"Global Engineering Technology Co.,Ltd.",,120838,"서울특별시 서대문구 충정로7길 충정로3가, 구세군빌딩 17층",비즈니스서비스업,건축설계 및 관련 서비스업,72111,20150527,설계,싱가포르,법인기업
(주)글로벌유,,010-2106-2993,120808,"서울특별시 서대문구 신촌역로 17 (대현동, 현대켐퍼빌 1706호)",비즈니스서비스업,기타 교육지원 서비스업,85709,20130614,"무역, 컨설팅, 유학서비스",일본,법인기업
(주)글로벌이시스코리아,"GLOBAL ISIS KOREA CO., LTD.",051-665-2287,614030,부산 부산진구 부전동 505-6 한솔폴라리스 105호,부동산?임대,부동산 자문 및 중개업,68221,20130627,부동산 컨설팅,일본,법인기업
(주)글로벌제이엠,"GLOBAL JM CO.,LTD.",2,121897,"서울특별시 마포구 양화로 56, 221호 (서교동, 동양한강트레벨오피스텔)",도?소매(유통),상품 종합 도매업,46800,20130521,"무역,도소매",중국,법인기업
(주)글로에이트,"GLO8 CO.,LTD.",7044924236,137905,서울특별시 서초구 강남대로 275 강남메인타워 13층,비즈니스서비스업,응용소프트웨어 개발 및 공급업,58222,20130201,교육용소프트웨어및디지털컨텐츠 무역,버진아일랜드,법인기업
(주)금룡여행사,"GOLDEN DRAGON TRAVEL CO.,LTD",02-720-2861,110721,서울 종로구 당주동 5 로얄빌딩 920호,운수?창고(물류),국내 여행사업,75212,20130409,여행업,홍콩,법인기업
(주)금마무역,KEUM MA TRADE,055-342-3240,621803,경상남도 김해시 진영읍 본산로219번길 76-5,도?소매(유통),상품 종합 도매업,46800,20121122,무역도소매업,중국,법인기업
(주)금만대박식당,"KUM MAN DAE BAK RESTAURANT CO., LTD.",010-5628-5888,461823,경기도 성남시 수정구 제일로 181 (태평동),음식?숙박,한식 음식점업,56111,20131106,한국음식점,중국,법인기업
(주)금성산업,,054-774-2770,780872,경북 경주시 천북면 신당리 113-1,화공,가공 및 재생 플라스틱원료 생산업,20303,20130611,"합성수지 재생원료 제조및 판매,무역",중국,법인기업
(주)금약아이티,"HEILONGJIANG JINYUE INTERNATIONAL TRADE KOREA CO., LTD",02-6220-3895,152050,서울 구로구 구로동 235-2 에이스하이엔드타워 918호,비즈니스서비스업,시스템 소프트웨어 개발 및 공급업,58221,20070516,"컴퓨터 관련 제조업, 소프트웨어자문",중국,법인기업
(주)금약코리아,"GOLDEN JUMPING KOREA CO.,LTD",25948284,137070,서울 서초구 서초동 중앙로138 우림빌딩 3층,전기?가스,기타 발전업,35119,20120119,"신재생에너지관련사업, 태양광에너지관련사업 등",중국,법인기업
(주)금오산업,"KUMO INDUSTRY CO.,LTD.",,681802,울산광역시 중구 종가로 (다운동 울산테크노파크) 15 울산테크노파크 A동 209호,기계?장비,그외 기타 특수목적용 기계 제조업,29299,20151015,기계 및 장비 제조업,싱가포르,법인기업
(주)금용,"KUMYONG CO., LTD.",031-528-8819,472863,경기도 포천시 내촌면 부마로282번길 82-26,도?소매(유통),방직용 섬유 및 사 도매업,46741,20091210,방직용 섬유 및 사 도매업,중국,법인기업
(주)금우,KUMWOO,032-813-3156,400103,인천광역시 중구 서해대로94번길 106,도?소매(유통),과실 및 채소 도매업,46311,20120816,농산물 도소매,중국,법인기업
(주)금원트레이딩,,,121853,"서울특별시 마포구 백범로 199, 513호(신공덕동, 메트로디오빌빌딩 )",도?소매(유통),상품 종합 도매업,46800,20151110,무역업,중국,법인기업
(주)금정이엔지,,061-464-2001,526891,전남 영암군 삼호면 나불리 331-9,금속,기타 구조용 금속제품 제조업,25119,20031230,선박구조물 해양구조물,중국,법인기업
(주)금홍,"JIN HONG CO.,LTD.",,100011,"서울특별시 중구 정동길 (정동 두비빌딩) 35, 302(정동, 두비빌딩)",금융?보험,투자 자문업,66192,20140911,"투자서비스,무역",중국,법인기업
(주)금휘황무역,JIN HUI HUANG MAO YI,032-773-0970,400041,인천 중구 관동1가 22,도?소매(유통),상품 종합 도매업,46800,20070327,무역,중국,법인기업
(주)긍홍국제여행사,,,120825,"서울특별시 서대문구 연희맛로 32, 3층 302-1호(연희동,도유빌딩)",운수?창고(물류),일반 및 국외 여행사업,75211,20151214,"일반여행업, 국내외 여행 알선업, 항공 선박 철도 매표대행 및 발권 판매업",홍콩,법인기업
(주)기린트레이드,"KIRIN TRADE CO.,LTD",051-244-7206,600022,"부산광역시 중구 광복로97번길 26-2, 802호(동광동2가, 조흥빌딩)",도?소매(유통),상품 종합 도매업,46800,20050310,무역,러시아,법인기업
(주)기영태양광발전소,"KIYOUNG CO.,LTD",051-338-6048,616821,부산 북구 덕천1동 386-10 세방빌딩 8층,전기?가스,기타 발전업,35119,20100222,태양광발전,일본,법인기업
(주)기프트캠,GIFT CAM,02-508-8856,135920,"서울특별시 강남구 테헤란로 81길 9,202호(삼성동,대천빌딩)",비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20130522,모바일소프트웨어 개발 및 자문,일본,법인기업
(주)긱옵틱스테라스퀘어코리아,"GIGOPTIX-TERASQUARE CO.,LTD.",,153801,"서울특별시 금천구 남부순환로 1945, 703호 (봉천동)",전기?전자,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",26120,20151005,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",미국,법인기업
(주)긴자인도레스토랑,KINZA INDIAN RESTAURANT,010.3942.3665,431812,"경기도 안양시 동안구 평촌대로217번길 19(호계동,백산프라자 392~304호)",음식?숙박,기타 외국식 음식점업,56119,20130522,음식점업,파키스탄,법인기업
(주)긴텍스코리아,"GINTEX KOREA CO.,LTD.",02-565-1401,135920,"서울특별시 강남구 테헤란로 147 (역삼동, 성지하이츠 2차)",도?소매(유통),상품 종합 도매업,46800,20131211,"도매, 무역",독일,법인기업
(주)길트레이딩,GIL TRADING,010.3948.8984,406050,"인천광역시 남구 매소홀로379번길 25-24 (학익동,지하1층)",도?소매(유통),상품 종합 도매업,46800,20130605,상품종합도매업,파키스탄,법인기업
(주)까사미아우피아,"casamia ufiia co.,ltd.",578-9695,135888,서울 강남구 신사동 527-4,도?소매(유통),가정용 가구 도매업,46431,20080826,"가구, 잡화류 수입 도소매 부동산임대, 통신판매업",미국,법인기업
(주)까이마트,"KAI MART CO.,LTD.",031-987-9881,415850,경기 김포시 대곶면 대곶북로 26,도?소매(유통),기타 음?식료품 위주 종합 소매업,47129,20130109,마트,태국,법인기업
(주)꽁시발재,GONG XI FA CAI LTD.,,999999,"서울특별시 중구 퇴계로73길 (신당동 ) 54-14, 1층 5호",도?소매(유통),상품 종합 도매업,46800,20160805,무역업,중국,법인기업
(주)꾸라르트레이딩,"KOLAR TRADING CO., LTD.",010-2116-9293,402833,인천광역시 연수구 비류대로278번길 (청학동 ) 8-17 에이동 101호,도?소매(유통),중고 자동차 판매업,45120,20130408,중고차 매매업,파키스탄,법인기업
(주)나광무역,"NAKWANG TRADING CO., LTD.",010-3554-1378,602833,"부산광역시 서구 원양로 1,에이동503호(암남동,수산가공선진화단지)",도?소매(유통),수산물 도매업,46313,20061108,무역업,일본,법인기업
(주)나나스타일,NANASTYLE CO.,*,120170,"서울 서대문구 대현동 90-15, 501",공공?기타서비스,외국어학원,85502,20111027,어학컨설팅,일본,법인기업
(주)나노람다코리아,NANOLAMBDA KOREA,-,305333,대전 유성구 어은동 53-3 나노종합팹센터 604호,도?소매(유통),전기용 기계장비 및 관련 기자재 도매업,46594,20100126,전자제품도소매 및 무역,미국,법인기업
(주)나눔로또,"NANUM LOTTO CO., LTD.",02-721-7321,121805,"서울특별시 마포구 백범로 192(공덕동, 에스오일빌딩 7층)",문화?오락,기타 갬블링 및 베팅업,91249,20070808,온라인복권사업,그리스,법인기업
(주)나도스본컴퍼니,NAEDOSBON CO.LTD,010.3148.9792,483060,"경기도 동두천시 장고갯로281번길 9 (보산동,1층1호)",도?소매(유통),상품 종합 도매업,46800,20130425,상품종합도매업,가나,법인기업
